all_planet_names,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date,visibility_from_naked_eyes
TOI-4559 b,31.6354,2.59,13.115,2024,not visible
TOI-4438 b,30.0346,5.4,13.69,2024,not visible
HD 77946 b,99.451,8.38,8.99,2024,not visible
NGC 2682 Sand 1429 b,852.793,2340.0,12.704,2024,not visible
CI Tauri c,157.998,4680.0,13.642,2024,not visible
TOI-1994 b,515.603,28730.0,10.514,2024,not visible
TOI-4515 b,193.499,2606.5,11.938,2024,not visible
LHS 1678 d,19.8782,0.907,12.6,2024,not visible
Teegarden’s Star d,3.83078,0.82,15.13,2024,not visible
TOI-1199 b,248.427,310.7,11.093,2024,not visible
TOI-1273 b,177.118,288.6,10.98,2024,not visible
TOI-1347 b,147.476,11.1,11.168,2024,not visible
TOI-1347 c,147.476,6.4,11.168,2024,not visible
TOI-1135 b,114.048,210.6,9.54,2024,not visible
TOI-1386 b,146.858,192.4,10.61,2024,not visible
TOI-1386 c,146.858,401.7,10.61,2024,not visible
HD 134606 b,26.7909,9.09,6.86,2024,not visible
HD 134606 f,26.7909,5.63,6.86,2024,not visible
HD 134606 c,26.7909,11.31,6.86,2024,not visible
HD 134606 d,26.7909,183.248,6.86,2024,not visible
HD 134606 e,26.7909,2.34,6.86,2024,not visible
TOI-238 b,80.5407,3.4,10.748,2024,not visible
TOI-1751 b,113.335,14.5,9.327,2024,not visible
TOI-238 c,80.5407,6.7,10.748,2024,not visible
Wolf 327 b,28.5321,2.53,13.018,2024,not visible
TOI-2266 b,51.6004,2.99,16.54,2024,not visible
TOI-1739 b,70.9819,3.52,10.692,2024,not visible
HS Piscium b,37.6604,1898.0,10.769,2024,not visible
HD 104067 c,20.3632,13.2,7.92,2024,not visible
HIP 77900 b,150.862,27300.0,6.15,2024,not visible
G 196-3 b,21.7912,33800.0,11.672,2024,not visible
2MASS J21252752-8138278 b,34.1154,15600.0,11.804,2024,not visible
2MASS J11550485-7919108 b,100.862,26000.0,16.957,2024,not visible
TOI-4336 A b,22.5455,5.14,13.6,2024,not visible
TOI-871 b,68.0473,3.41,10.569,2024,not visible
TIC 139270665 c,189.875,6357.0,10.385,2024,not visible
HIP 39017 b,66.3217,30680.0,6.96076,2024,not visible
TOI-1467 b,37.4418,4.02,12.293,2024,not visible
TOI-5799 b,27.8123,3.27,13.29,2024,not visible
TOI-2068 b,52.9328,3.97,13.007,2024,not visible
TIC 139270665 b,189.875,601.9,10.385,2024,not visible
NGTS-30 b,238.377,1248.0,12.537,2024,not visible
TOI-771 b,25.2788,2.61,14.888,2024,not visible
Kepler-656 c,890.352,2.57,15.549,2023,not visible
Kepler-416 d,690.819,3.22,14.166,2023,not visible
Kepler-347 d,1298.88,9.48,14.567,2023,not visible
Kepler-311 d,778.654,4.86,13.902,2023,not visible
Kepler-290 d,694.627,0.566,15.775,2023,not visible
Kepler-58 e,969.252,3.22,15.086,2023,not visible
Kepler-549 d,635.145,16.4,14.805,2023,not visible
Kepler-1979 b,1076.27,325000.0,15.484,2023,not visible
Kepler-865 c,586.137,0.64,14.635,2023,not visible
Kepler-763 c,962.459,2.6,15.965,2023,not visible
Kepler-784 c,1303.72,3.02,13.392,2023,not visible
Kepler-864 c,2022.9,3.26,15.898,2023,not visible
Kepler-880 c,601.324,8.6,11.845,2023,not visible
Kepler-619 d,900.678,16.2,14.84,2023,not visible
Kepler-1978 b,865.512,7.61,15.49,2023,not visible
Kepler-1894 c,935.191,1.92,15.452,2023,not visible
Kepler-1977 b,592.711,3.39,16.047,2023,not visible
Kepler-1990 b,392.739,10.7,11.946,2023,not visible
Kepler-1921 c,928.989,2.57,13.103,2023,not visible
Kepler-1126 c,635.736,2.7,14.221,2023,not visible
Kepler-1869 c,113.025,0.33,10.31,2023,not visible
Kepler-1471 c,978.678,4.19,15.421,2023,not visible
Kepler-949 c,486.105,9.11,14.718,2023,not visible
Kepler-975 c,426.088,327.6,14.633,2023,not visible
Kepler-297 d,692.14,366600.0,14.326,2023,not visible
Kepler-1052 c,943.444,5.9,14.932,2023,not visible
Kepler-1981 b,659.395,256.1,13.563,2023,not visible
Kepler-1162 c,940.211,3.93,15.749,2023,not visible
Kepler-1181 c,938.417,4.01,13.549,2023,not visible
Kepler-1487 c,1014.62,198.9,13.6,2023,not visible
Kepler-1859 c,1331.25,3.39,15.178,2023,not visible
Kepler-1491 c,2065.59,6.53,15.796,2023,not visible
Kepler-1518 c,903.51,8.75,13.374,2023,not visible
Kepler-1610 c,864.331,5.02,16.077,2023,not visible
Kepler-164 e,890.758,16.7,14.379,2023,not visible
Kepler-1669 d,543.444,1.98,16.473,2023,not visible
Kepler-1801 c,839.332,8.8,15.28,2023,not visible
Kepler-1834 c,500.395,1.98,15.18,2023,not visible
Kepler-1980 b,1709.4,5.52,15.906,2023,not visible
Kepler-2001 b,776.55,1.12,15.981,2023,not visible
Kepler-1982 b,558.855,0.381,12.696,2023,not visible
LP 791-18 d,26.4927,0.9,16.91,2023,not visible
Kepler-1999 b,701.255,10.8,16.433,2023,not visible
Kepler-2000 b,320.588,7.9,15.642,2023,not visible
Kepler-2000 c,320.588,3.09,15.642,2023,not visible
Kepler-763 d,962.459,3.43,15.965,2023,not visible
Kepler-2001 c,776.55,3.97,15.981,2023,not visible
TOI-1221 b,138.411,4550.0,10.494,2023,not visible
TOI-244 b,22.0337,2.68,12.861,2023,not visible
HD 207496 b,23.606,6.1,8.23,2023,not visible
Kepler-1997 b,1502.34,5.82,15.454,2023,not visible
TOI-139 b,42.4061,6.6,10.55,2023,not visible
TOI-2194 b,19.5711,4.61,8.42,2023,not visible
TOI-2443 b,23.9258,8.11,9.51,2023,not visible
TOI-2459 b,36.6113,9.03,10.772,2023,not visible
Kepler-1998 b,340.965,0.156,12.74,2023,not visible
Kepler-1996 c,440.561,8.3,15.11,2023,not visible
Kepler-1983 b,424.428,6.04,14.518,2023,not visible
Kepler-1988 b,513.426,2.96,12.128,2023,not visible
Kepler-1984 b,3238.9183499688,37.3,16.192,2023,not visible
Kepler-1985 b,2073.0033312894,5.77,15.223,2023,not visible
Kepler-1986 b,912.085,4.23,15.661,2023,not visible
Kepler-1987 b,595.683,2.04,15.477,2023,not visible
Kepler-1987 c,595.683,2.33,15.477,2023,not visible
Kepler-1987 d,595.683,7.56,15.477,2023,not visible
Kepler-1987 e,595.683,4.35,15.477,2023,not visible
Kepler-1989 b,1252.13,19.3,14.289,2023,not visible
Kepler-1996 b,440.561,5.73,15.11,2023,not visible
Kepler-1990 c,392.739,0.904,11.946,2023,not visible
Kepler-1991 b,855.82,2.76,15.048,2023,not visible
Kepler-1991 c,855.82,7.13,15.048,2023,not visible
Kepler-1992 b,532.955,0.693,13.79,2023,not visible
Kepler-1993 b,1031.91,16.1,13.451,2023,not visible
Kepler-1994 b,241.991,0.087,12.01,2023,not visible
Kepler-1995 b,595.331,16.9,15.516,2023,not visible
Kepler-896 c,2334.93,10.1,15.457,2023,not visible
TOI-5205 b,86.4493,1404.0,15.899,2023,not visible
TOI-778 b,161.743,3640.0,9.109,2023,not visible
EPIC 229004835 b,121.971,10.4,10.23,2023,not visible
Wolf 1069 b,9.58341,1.26,13.993,2023,not visible
TOI-1937 A b,415.135,2613.0,13.18,2023,not visible
TOI-2364 b,219.614,292.5,12.234,2023,not visible
TOI-2583 A b,566.189,325.0,12.586,2023,not visible
TOI-2587 A b,373.675,283.4,11.544,2023,not visible
TOI-2796 b,350.343,572.0,12.475,2023,not visible
TOI-836 b,27.5024,4.53,9.92,2023,not visible
TOI-836 c,27.5024,9.6,9.92,2023,not visible
L 363-38 b,10.2295,4.67,13.027,2023,not visible
TOI-2803 A b,494.818,1267.5,12.537,2023,not visible
TOI-2818 b,312.674,923.0,11.937,2023,not visible
TOI-2842 b,460.995,481.0,12.59,2023,not visible
TOI-2977 b,629.04251640238,2184.0,12.6334,2023,not visible
TOI-3023 b,389.916,806.0,12.252,2023,not visible
TOI-3364 b,277.899,2171.0,11.875,2023,not visible
TOI-3688 A b,396.378,1274.0,12.241,2023,not visible
TOI-3807 b,421.745,1352.0,11.856,2023,not visible
TOI-3235 b,72.811,864.5,15.16,2023,not visible
TOI-2525 c,395.398,854.1,14.216,2023,not visible
TOI-2525 b,395.398,26.698,14.216,2023,not visible
TOI-1669 b,111.276,744.9,10.218,2023,not visible
TOI-700 e,31.1265,0.818,13.151,2023,not visible
GJ 1151 c,8.03625,10.62,13.76,2023,not visible
TOI-4582 b,383.846,689.0,11.27,2023,not visible
TOI-1694 b,124.68,26.1,11.446,2023,not visible
TOI-4342 b,61.5204,5.76,12.669,2023,not visible
TOI-4342 c,61.5204,6.41,12.669,2023,not visible
TOI-4562 b,339.605,2990.0,12.14,2023,not visible
TOI-1694 c,124.68,1365.0,11.446,2023,not visible
AF Leporis b,26.8564,4160.0,6.332,2023,not visible
TOI-3819 b,558.141,1443.0,12.542,2023,not visible
TOI-3912 b,465.992,527.8,12.507,2023,not visible
TOI-3976 A b,516.087,227.5,12.403,2023,not visible
TOI-4406 b,261.834,390.0,10.937,2023,not visible
K2-415 b,21.8182,7.5,15.33,2023,not visible
TOI-1338 c,399.017,266.5,11.722,2023,not visible
TOI-4603 b,225.643,16757.0,9.24,2023,not visible
PZ Telescopii b,47.0648,35100.0,8.43,2023,not visible
TOI-2338 b,313.996,7774.0,12.483,2023,not visible
TOI-2589 b,200.273,4550.0,11.415,2023,not visible
HIP 99770 b,40.0765,20930.0,4.94292,2023,visible
TOI-2096 b,48.4809,2.08,15.92,2023,not visible
K2-312 c,109.86,7033.0,9.452,2023,not visible
Kepler-10 d,185.506,12.68,11.043,2023,not visible
Kepler-454 d,230.869,3003.0,11.567,2023,not visible
Kepler-68 e,144.166,353.6,10.077,2023,not visible
TOI-733 b,75.2092,5.72,9.44,2023,not visible
TOI-2096 c,48.4809,4.32,15.92,2023,not visible
TOI-4087 b,301.676,949.0,12.107,2023,not visible
TOI-2145 b,224.731,6838.0,9.07,2023,not visible
TOI-4145 A b,205.387,559.0,12.084,2023,not visible
TOI-4463 A b,173.117,1032.2,11.036,2023,not visible
TOI-4791 b,328.802,3003.0,11.541,2023,not visible
TIC 279401253 b,285.584,7982.0,11.938,2023,not visible
TIC 279401253 c,285.584,10426.0,11.938,2023,not visible
TOI-1811 b,128.23,1263.6,11.966,2023,not visible
TOI-181 b,96.2338,188.76,11.191,2023,not visible
TOI-2152 A b,303.006,3679.0,11.436,2023,not visible
TOI-2154 b,296.46,1196.0,11.068,2023,not visible
TOI-2497 b,285.289,6266.0,9.547,2023,not visible
TOI-3082 b,113.048,13.0,12.934,2023,not visible
HD 169142 b,113.6,3900.0,8.156,2023,not visible
Kepler-1976 b,1314.51,,15.445,2023,not visible
HD 18438 b,224.146,27300.0,5.50474,2023,visible
TOI-2498 b,275.265,34.62,11.196,2023,not visible
Kepler-1814 c,726.346,3.75,15.814,2023,not visible
TOI-4308 b,108.932,6.43,11.251,2023,not visible
HD 108202 b,38.6846,3900.0,10.26,2023,not visible
TOI-199 b,102.27,221.0,10.701,2023,not visible
TOI-199 c,102.27,364.0,10.701,2023,not visible
HAT-P-2 c,127.774,13910.0,8.72,2023,not visible
TOI-858 B b,250.489,1430.0,11.183,2023,not visible
TOI-1801 b,30.6796,5.738,11.58,2023,not visible
GJ 3988 b,9.9105,3.69,13.627,2023,not visible
GJ 724 b,16.9658,10.75,10.638,2023,not visible
Kepler-1513 c,349.247,345.8,13.071,2023,not visible
TOI-5126 c,160.414,14.2,10.141,2023,not visible
TOI-5126 b,160.414,20.2,10.141,2023,not visible
TOI-5398 c,130.855,11.8,10.059,2023,not visible
TOI-5344 b,138.367,535.6,15.402,2023,not visible
TOI-1194 b,149.667,592.8,11.302,2023,not visible
TOI-1420 b,201.918,25.1,11.655,2023,not visible
GJ 806 c,12.0445,5.8,10.79,2023,not visible
GJ 806 b,12.0445,1.9,10.79,2023,not visible
AU Microscopii d,9.7221,1.053,8.81,2023,not visible
TOI-1408 b,139.484,2197.0,9.270001,2023,not visible
TOI-4600 c,216.056,12051.0,12.577,2023,not visible
TOI-4600 b,216.056,3926.0,12.577,2023,not visible
HD 185283 b,31.395,1690.0,9.03,2023,not visible
HD 73256 c,36.708,20800.0,8.08,2023,not visible
HD 75302 b,30.3288,7020.0,7.45,2023,not visible
HIP 29442 b,68.192,9.6,9.49,2023,not visible
HIP 29442 c,68.192,4.5,9.49,2023,not visible
HIP 29442 d,68.192,5.1,9.49,2023,not visible
TOI-4201 b,189.011,3224.0,15.163,2023,not visible
TOI-332 b,222.852,233.961,12.349,2023,not visible
75 Ceti c,82.9613,1185.6,5.3532,2023,visible
HD 99492 c,18.2038,17.9,7.56727,2023,not visible
HIP 113103 b,46.2122,4.0,9.95,2023,not visible
HIP 113103 c,46.2122,6.35,9.95,2023,not visible
LHS 475 b,12.4814,0.941,13.0,2023,not visible
TOI-1853 b,165.105,299.403,12.178,2023,not visible
TOI-1736 c,88.9482,11310.0,8.953,2023,not visible
TOI-4551 b,215.986,1937.0,9.973,2023,not visible
TOI-2141 b,77.682,24.0,9.46,2023,not visible
Kepler-139 e,391.038,1742.923,12.775,2023,not visible
HD 63433 d,22.4035,1.25,6.92035,2023,not visible
TOI-5704 b,89.637,10.5,11.529,2023,not visible
Kepler-100 e,304.645,24.143,11.055,2023,not visible
TOI-2524 b,438.842,832.0,12.8,2023,not visible
Kepler-48 f,306.738,1221.272,13.174,2023,not visible
Kepler-139 d,391.038,4.658,12.775,2023,not visible
TOI-904 c,46.0891,5.34,12.588,2023,not visible
TOI-904 b,46.0891,6.46,12.588,2023,not visible
KOI-2513.01,1369.87,29900.0,14.913,2023,not visible
Kepler-1660 AB b,1188.54,6489.6,13.595,2023,not visible
TOI-2416 b,557.733,3900.0,13.019,2023,not visible
LHS 3154 b,15.7606,13.15,17.65,2023,not visible
TOI-2010 b,109.19,1671.8,9.849,2023,not visible
HD 110067 d,32.1585,8.52,8.419,2023,not visible
TOI-1736 b,88.9482,12.8,8.953,2023,not visible
TOI-4377 b,455.82,1244.1,11.707,2023,not visible
TOI-2134 c,22.6202,171.34,8.933,2023,not visible
TOI-2134 b,22.6202,9.13,8.933,2023,not visible
HD 110067 g,32.1585,8.4,8.419,2023,not visible
HD 110067 f,32.1585,5.04,8.419,2023,not visible
HD 110067 e,32.1585,3.9,8.419,2023,not visible
HD 110067 c,32.1585,6.3,8.419,2023,not visible
TOI-2373 b,508.686,12090.0,13.251,2023,not visible
HD 110067 b,32.1585,5.69,8.419,2023,not visible
HD 88986 b,33.2673,17.2,6.46974,2023,not visible
TOI-544 c,41.1166,21.5,10.777,2023,not visible
HD 154391 b,100.947,11830.0,6.1552,2023,not visible
HD 112570 b,101.166,4446.0,6.11055,2023,not visible
TOI-4641 b,86.3501,5031.0,7.51,2023,not visible
HD 135625 b,56.518,2990.0,7.72,2023,not visible
HIP 66074 b,35.4438,6500.0,10.25,2023,not visible
GJ 9404 b,23.8839,11.9,10.62,2023,not visible
WASP-193 b,362.087,180.7,11.972,2023,not visible
HD 74698 c,52.0648,520.0,7.78,2023,not visible
HD 94771 b,57.7807,689.0,7.37,2023,not visible
HIP 54597 b,39.7429,3120.0,9.83,2023,not visible
HIP 9618 b,67.5478,10.0,9.2,2023,not visible
HIP 9618 c,67.5478,18.3,9.2,2023,not visible
TOI-2000 b,175.713,11.0,10.984,2023,not visible
TOI-2000 c,175.713,334.1,10.984,2023,not visible
TOI-4010 b,177.504,11.0,12.291,2023,not visible
TOI-4010 c,177.504,20.31,12.291,2023,not visible
TOI-4010 d,177.504,38.15,12.291,2023,not visible
TOI-4010 e,177.504,2830.464,12.291,2023,not visible
BD-210397 b,23.7324,910.0,9.84,2023,not visible
BD-210397 c,23.7324,6240.0,9.84,2023,not visible
HD 22946 d,62.7792,26.57,8.270001,2023,not visible
Rho Coronae Borealis d,17.5108,21.6,5.41,2023,visible
Rho Coronae Borealis e,17.5108,3.79,5.41,2023,visible
WASP-84 c,100.588,15.2,10.825,2023,not visible
TOI-784 b,64.5997,9.67,9.412,2023,not visible
HD 74698 b,52.0648,23.0,7.78,2023,not visible
HD 15906 c,45.5621,8.91,9.78,2023,not visible
HD 15906 b,45.5621,5.65,9.78,2023,not visible
K2-416 b,120.311,6760.0,14.794,2023,not visible
TOI-5803 b,84.0126,10.7,10.655,2023,not visible
TOI-672 b,66.9071,24.1,13.576,2023,not visible
TOI-715 b,42.4048,3.02,16.683,2023,not visible
TOI-913 b,65.1769,6.59,10.452,2023,not visible
TOI-1859 b,224.385,280.8,10.33,2023,not visible
K2-417 b,94.0424,2860.0,13.909,2023,not visible
GJ 328 c,20.5266,21.4,9.99,2023,not visible
TOI-5678 b,165.393,20.0,11.438,2023,not visible
TOI-1416 b,55.0135,3.48,9.91,2023,not visible
TOI-4127 b,319.632,2990.0,11.441,2023,not visible
HD 165131 b,57.4263,24310.0,8.42,2023,not visible
HD 167677 b,54.3258,3705.0,8.9,2023,not visible
HD 89839 b,57.3063,6513.0,7.64,2023,not visible
TOI-2018 b,27.9956,9.2,10.25,2023,not visible
TOI-1680 b,37.2209,2.75,15.87,2023,not visible
TOI-908 b,175.748,16.137,11.316,2023,not visible
HD 235088 b,41.1706,4.84,9.19,2023,not visible
GJ 367 d,9.41263,6.03,10.153,2023,not visible
HD 6860 b,61.12469,36738.0,2.06763,2023,visible
TOI-1470 b,51.9503,7.32,13.459,2023,not visible
TOI-1470 c,51.9503,7.24,13.459,2023,not visible
TOI-262 b,43.932,4.94,8.91,2023,not visible
TOI-444 b,57.3973,8.1,9.86,2023,not visible
TOI-470 b,130.46,17.4,11.171,2023,not visible
TOI-1052 b,129.804,16.9,9.511,2023,not visible
TOI-1052 c,129.804,34.3,9.511,2023,not visible
HD 36384 b,209.309,8580.0,6.18839,2023,not visible
MWC 758 c,159.537,,8.270001,2023,not visible
TOI-198 b,23.7262,2.67,11.688,2023,not visible
TOI-2095 b,41.9176,4.1,13.19,2023,not visible
TOI-2095 c,41.9176,7.4,13.19,2023,not visible
TOI-4860 b,80.1423,354.9,16.47,2023,not visible
